,ArgProSer,CT,1c3moxybenz+benzsulfa+dodecymebr,AlaArgGluGly,ACGT,AC,AG,ProSerThr,benzsulfa+16diph135hex+nmpyrr+pyrene,benzene+dodecymebr,AlaArg,1-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine,3-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine,2-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine,2-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth,1-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth,3-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth
88.0,88310,17092,14928,26966,14814,4528,8199,14868,1688,37417,58511,8745,5036,4935,2786,9055,5313
89.0,22221,39213,26976,17622,35051,13888,22632,21485,3161,24503,24034,21943,36082,13640,6287,17121,6379
90.0,5956,7212,5380,14934828,4272,18901,2826,4102,0,6023,8130731,3014,3007,1502,1566,3103,1113
91.0,14084,37211,24794,1481232,24147,32361,18115,18494,4758,17931,702566,18284,3744,22125,6580,14429,5775
92.0,0,3645,2303,604630,3359,1542,1522,2063,0,6344,209574,3460,2538,5028,0,0,0
93.0,5241,13282,10252,267707,10272,65223,7155,5966,0,23254,123350,6799,2613,8484,3009,5707,0
94.0,2192,5470,10872,101456,4586,5935,0,3021,37852,145359,43866,3748,52376,55766,0,0,0
95.0,11313,19247,19973,41542,15985,11936,9995,13491,31002,246714,19758,16720,16717,23699,6685,9725,3994
96.0,3501,5031,4950,17811,6334,7239,0,4566,74886,22610,4353,3583,4093,3334,0,0,0
97.0,19036,33901,36410,7563,24649,14472,20378,21755,54645,54907,20882,14096,9482,9932,9700,15904,6959
98.0,8734,12550,11798,3873,11119,2315,7410,11566,321283,37095,6250,5200,4753,4198,1712,4921,1819
99.0,22421,43287,39626,7144,48518,35011,27653,24974,86817,62352,23540,12101,8251,26155,8599,20148,7975
100.0,8440,21946,12872,5342,19113,6348,7025,9370,8415,12951,8191,8254,8168,7651,1171,6789,3904
101.0,22248,65962,38615,8038,47088,15702,34759,26815,2757,36887,24119,11022,8457,10283,10428,19479,8466
102.0,8687,15668,12132,37045,10598,3875,8227,58353,0,10296,10540,7162,3601,4465,1373,7418,3900
103.0,8833,17994,15148,4670,13164,6616,13965,18787,0,19700,10597,3965,0,1665,4176,6604,1930
104.0,6387,8723,4476,5409,8650,3875,2526,3452,0,5004,4231,2255,0,1428,1227,3058,1631
105.0,5149,9747,6877,1326,6844,3571,8124,6691,0,7296,5659,4184,1128,2466,0,3032,0
106.0,1162049,2382,0,0,0,1805,0,71139,0,46436,0,4349,10108,4939,0,0,0
107.0,107945,18895,29475,3724,12943,20983,9884,15975,3047,33193,9423,13419,14290,19654,4213,10169,4249
108.0,32015,15070,40712,18943,14324,5695,6625,5786,9500,91424,13715,169767,88926,339186,0,4005,2481
109.0,19565,43012,32276,5918,28713,13502,15068,15846,3993,40287,13813,64496,25752,237315,6002,14402,5850
110.0,5001,38991,5806,1439,18532,13809,0,4465,1285,24522,2826,20766,40855,49880,1992,3958,2643
111.0,17446,37593,28705,4415,25550,32347,16285,17958,1304,94688,17363,26944,32042,19639,7142,13400,7490
112.0,6998,4423031,8932,0,3436647,3708237,3836,6514,7622,34518,6925,4980,5890,6224,0,2214,0
113.0,16050,531076,23798,5810,389461,446781,24266,17482,3649,47342,18927,8936,8592,6543,6136,12125,5425
114.0,125326,166815,21803,102373,164197,167188,25074,89049,16347,23920,73942,12629,10842,11586,3430,10319,5102
115.0,25010,94907,28360,11868,71026,70762,23333,22541,3364,32035,22871,10614,9567,7113,6682,13397,5826
116.0,7413337,44633,8160,53332,31519,34622,7061,5126720,2939,6491,24573,3624,3550,3358,1379,4433,3108
117.0,955529,36061,18392,6772,22403,29564,15729,612737,3595,17813,14188,7018,2786,5992,4935,9562,4690
118.0,302079,7041,5976,11619,5941,4342,3020,201932,0,3819,8330,1783,928,0,0,0,1547
119.0,167642,9961,7934,1588,9685,4278,7328,99149,0,8369,5899,5280,5725,4115,0,3105,0
120.0,60420,2593,0,0,0,0,0,382598,18201,3564,2029,0,4926,71038,39946,23802,59824
121.0,38951,10219,11589,0,6657,4646,4944,52655,4998,19407,6741,23548,1435221,13800268,11256184,7838549,14476958
122.0,8495,3620,3079,0,2220,0,0,15721,1908,9075,0,1492695,2225663,3615857,1279628,908080,1924294
123.0,14619,24757,20328,2277,18500,8156,12464,17705,6922,29804,14307,29350193,14363603,21523143,282015,270409,556138
124.0,3917,5975,12701,0,5539,1784,4787,3533,3317,8260,1473,6943770,2193518,3915318,168028,128153,278718
125.0,13749,38702,34484,11947,26551,18228,20582,13483,0,24683,16569,1632441,686204,1276691,87472,56708,131190
126.0,5047,245047,5749,1716,53038,3905,4003,7198,0,9761,4395,660798,310230,457191,42170,40881,67707
127.0,20148,30105028,32916,11683,13462507,34288,29085,18362,2169,450204,29105,399898,170192,246840,25363,27058,46336
128.0,18777,4777373,60496,7310,1733317,11563,7380,16166,3579,58146,10776,255094,74844,141218,4715,9766,10940
129.0,17227,1484689,40928,5247,477122,12270,22782,15365,7110,32619,20717,145857,65996,76216,5204,11383,5611
130.0,9761,603565,23757,17284,255976,4778,3005,12072,3433,10072,9141,135371,3493964,7127815,0,3045,1810
131.0,8284,362417,24020,5798,152511,8334,14604,11785,0,16957,11419,48068,544152,1121235,4302,7024,2427
132.0,18237,178994,2755,3279,78391,4228,1582,6716,5874,5062,3603,11264,148231,298744,0,0,0
133.0,5233,105325,7816,5490,31675,5182,7217,6637,0,9322,5792,8289,53694,135583,0,4249,0
134.0,4630,54829,0,0,5573,1059,0,3841,10927,2971,0,4711,45392,84128,0,0,0
135.0,13100,43668,19822,6042,68867,182352,164642,17759,3658,16605,12760,119219,245026,148409,14650,15360,391066
136.0,3977,19810,13282,2119,12912531,16098199,17729719,8660,8342,15288,5985,444723,1726809,766882,11541,11540,90425
137.0,7907,18910,16304,0,1845960,2057610,2303251,8605,2336,17561,7980,432657,530231,337468,6845,8494,11469
138.0,0,7002,7401,0,543274,619987,682849,3377,0,1483,0,459083,882536,384158,1487,1553,2965
139.0,13203,29985,66295,3983,289006,316299,355397,16540,7301,22599,13118,232187,285187,182159,12491,16197,19943
140.0,3526,10980,10508,0,97370,119266,147086,3124,0,3966,4058,56453,63790,32836,0,0,1570
141.0,13649,41739,37714,5072,103675,103693,119528,14894,2241,21655,19521,115847,23626,89662,4876,9626,4404
142.0,73965,15887,737231,9314,87640,62216,49548,33381,0,4469,6428,12147,5347,10654,0,1718,0
143.0,18533,83482,8984627,7700,57928,30638,40624,15237,3985,31416,18425,19394,19152,9690,4343,10191,3989
144.0,11957,58826,1323839,4987,76070,16175,11444,13411,0,7443,6098,5001,2138,1786,0,2636,0
145.0,14054,31111,3225508,5699,23085,14764,17294,10561,0,15334,14925,7490,3908,3164,3485,6628,2913
146.0,1268,6290,344163,2916,4438,0,0,7490,2467,1846,2953,0,3626,5829,0,0,0
