,ArgProSer,CT,1c3moxybenz+benzsulfa+dodecymebr,AlaArgGluGly,ACGT,AC,AG,ProSerThr,benzsulfa+16diph135hex+nmpyrr+pyrene,benzene+dodecymebr,AlaArg,1-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine,3-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine,2-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine,2-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth,1-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth,3-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth
257.0,6109,46023,4030,2016,9619,42684,5177,11757,30138,0,8424,11462,13961,8170,3263,0,3065
258.0,0,22874,0,5136,2401,10445,0,2227,71310,0,0,5050,17858,14733,0,0,0
259.0,13850,21923,4448,12497,9369,28294,7148,8061,20571,12972,11826,47325,110241,48291,0,2694,0
260.0,3268,10618,0,4740,2953,6707,0,0,8480,3568,4183,7495,22237,10342,0,0,0
261.0,0,9178,3053,0,4115,6727,0,3914,5321,0,0,3638,10178,27213,0,0,8360
262.0,0,0,0,3125,32903,2934,3287,0,6378,0,3928,0,1768,5716,0,0,1847
263.0,8740,16920,11812,2785,19408,10186,9675,9842,4178,8482,9120,7082,0,4940,4595,7596,4739
264.0,2228,3149,3313,0,5502,5212,2844,2014,4424,2480,3051,2167,3623,8970,0,1899,0
265.0,0,3350,0,5210,2784,9464,3344,4616,5490,0,0,0,0,2589,0,0,0
266.0,0,0,0,2703,0,0,0,2679,3955,0,2721,0,0,0,0,0,0
267.0,2396,6895,4208,0,5161,6785,4376,5213,6731,4665,0,0,13575,5505,0,0,0
268.0,0,0,0,3750,2974,2021,0,0,4373,0,3994,0,11749,3647,0,0,0
269.0,3959,10456,5168,2732,6041,6283,3411,3251,6570,3518,2838,0,5568,4812,0,0,0
270.0,0,4928,0,0,7393,21676,11967,0,14711,0,0,0,0,2125,0,0,0
271.0,4743,8376,5622,2336,326858,353676,273279,6092,12497,4260,5686,4360,0,0,0,0,0
272.0,0,3269,0,0,62598,74420,52503,0,18210,0,0,0,4389,0,0,0,0
273.0,3866,5602,4180,4024,12583,17968,8260,4828,6981,0,7119,9416,14510,6296,0,0,2561
274.0,0,6424,0,2789,0,8820,0,0,57840,0,3509,2517,7380,0,0,0,0
275.0,0,7338,4155,3244,5566,14027,0,5729,33236,3013,3124,8583,15145,9065,2852,0,3559
276.0,0,0,0,2565,2405,6027,1841,0,157515,0,3591,3216,4984,2861,0,0,0
277.0,3506,5410,4258,0,5034,4679,1587,4947,37014,4059,4402,3870,4561,0,0,3201,0
278.0,0,3238,0,2328,0,1907,0,0,6927,0,3234,0,0,0,0,0,0
279.0,5134,10495,7370,3460,8254,17306,5192,7013,13286,6088,5173,4600,3297,3482,2205,4166,2672
280.0,0,6275,0,0,0,8341,0,2489,8159,0,0,0,0,0,0,0,0
281.0,0,7060,3174,0,2625,5327,2947,0,16391,0,0,0,0,0,0,0,0
282.0,0,0,0,0,0,6899,0,0,17450,0,3478,0,0,0,2501,0,0
283.0,3688,6899,4606,0,3950,8393,4464,5530,5761,3899,4716,1157,0,0,2268,2703,3987
284.0,0,3563,0,4058,0,3169,0,0,8033,2382,0,0,1829,0,0,0,0
285.0,6023,6148,5491,3162,5831,16198,5699,13001,3689,4360,6815,2409,1698,0,0,1655,0
286.0,0,0,0,0,0,8672,0,2455,7084,0,0,0,0,0,0,0,0
287.0,4574,5296,5301,3331,5605,11577,5017,3779,5000,0,5340,2638,2034,0,0,0,0
288.0,0,0,0,2712,0,3983,0,0,18705,0,0,0,2916,0,0,0,0
289.0,0,4252,6047,2171,4130,42969,2993,4252,6496,0,4780,11952,31683,11876,0,0,3003
290.0,0,0,0,3072,0,11044,1932,0,12545,0,4399,2590,7332,2455,0,0,0
291.0,0,4425,0,0,0,3765,0,1759,5092,0,0,4480,11644,6331,0,0,0
292.0,0,0,0,3235,0,3365,0,1539,6809,0,2614,0,0,0,1646,0,2524
293.0,0,4537,0,0,0,5298,0,0,5942,0,0,0,2815,0,0,0,0
294.0,0,0,0,0,0,2198,0,3061,3772,0,0,0,0,0,0,0,0
295.0,0,3565,0,0,0,3993,0,4563,4264,0,0,0,0,0,0,0,0
296.0,0,0,0,0,0,1281,0,0,4090,0,2785,0,0,0,0,0,0
297.0,8831,37901,31041,2225,32512,15813,21627,11663,6457,15107,9056,6267,0,2814,3731,9654,3958
298.0,1929,14685,8354,0,13147,13969,7862,2254,23355,3556,2643,2327,0,0,0,2596,0
299.0,8211,20415,18894,2705,18080,16257,17220,10634,9388,9114,7691,3279,0,0,2471,4319,1555
300.0,0,2743,4068,0,3374,3674,3378,0,9234,1801,0,0,0,0,0,0,0
301.0,4052,8704,8997,0,8335,7308,0,5431,5261,0,0,2071,0,0,0,0,0
302.0,0,0,1385,2172,0,0,0,0,6600,0,0,0,0,0,0,0,0
303.0,2368,5775,4307,0,5419,17485,2423,4072,5153,0,0,1925,0,0,0,0,0
304.0,0,0,0,4658,3556,7359,2155,0,6077,2006,5184,0,0,0,0,0,0
305.0,0,4915,3523,0,3897,16961,0,0,0,0,1477,0,1827,0,0,0,0
306.0,0,0,0,7305,3593,20646,4758,0,2663,0,5303,0,0,0,0,0,19968
307.0,0,2854,0,0,0,11132,0,2588,3353,0,0,0,1958,0,0,0,4692
308.0,0,0,0,2311,0,4305,0,3112,2758,0,0,0,0,0,0,0,0
309.0,0,4078,0,0,0,3678,0,0,0,0,0,0,2894,0,0,0,0
310.0,0,0,0,3151,0,1928,0,3454,2320,0,3034,0,0,0,0,0,0
311.0,0,5381,0,2935,0,4042,0,4197,25151,0,0,0,0,0,0,0,0
312.0,0,0,0,4076,0,2916,0,0,26690,0,3029,0,0,0,0,0,0
313.0,3879,5183,3620,2201,4367,6527,4566,3107,11313,0,3490,3856,0,0,0,0,0
314.0,0,2707,0,0,0,3704,0,0,41994,0,0,0,0,0,0,0,0
315.0,0,6750,5198,2808,4721,4805,2859,5005,11844,2995,4204,2420,0,0,0,0,0
316.0,0,3381,0,3527,0,4748,0,0,4859,0,0,0,0,0,0,0,0
317.0,0,4602,15969,0,3058,5983,3550,4540,6013,0,2177,0,1759,0,0,0,0
318.0,0,0,1876,5543,0,5799,0,0,1751,0,3809,0,0,0,0,0,0
319.0,0,4496,4609,0,4277,4617,0,4907,2663,0,2106,0,0,0,0,0,0
320.0,0,0,0,3476,0,7687,0,0,0,0,4499,0,0,0,0,0,7487
321.0,0,3731,0,0,0,4496,0,0,0,0,0,0,0,0,0,0,2991
322.0,0,0,0,0,0,1413,0,0,0,0,0,0,0,0,0,0,0
323.0,0,4922,0,0,0,2921,0,0,3493,0,0,0,0,0,0,0,0
324.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325.0,0,0,0,0,0,2364,0,0,3944,0,0,0,1315,0,0,0,0
326.0,0,0,0,0,0,0,0,0,6895,0,0,0,0,0,0,0,0
327.0,0,3735,0,0,3728,4044,0,0,3203,0,0,0,0,0,0,0,0
328.0,0,0,0,2876,0,5715,0,0,15329,0,0,0,0,0,0,0,0
329.0,4390,2642,3204,2983,4684,6188,0,4398,7041,0,5035,0,0,0,0,0,0
330.0,0,0,0,3245,0,7522,0,0,7555,0,0,0,0,0,0,0,0
331.0,0,4142,3628,2932,2302,7533,0,3597,3868,0,0,3363,1750,0,0,0,0
332.0,0,0,0,4002,0,4447,0,0,0,0,3443,0,0,0,0,0,0
333.0,0,1663,0,0,3553,8707,0,3084,0,0,0,0,0,0,0,0,0
334.0,0,0,2211,6569,0,5330,0,0,9256,0,4207,0,0,0,0,0,0
335.0,0,2576,2307,0,0,6404,0,0,12530,0,0,0,0,0,0,0,0
336.0,0,0,0,0,0,2757,0,0,5814,0,0,0,0,0,0,0,2480
337.0,0,0,0,0,0,0,0,0,9408,0,0,0,0,0,0,0,0
338.0,2126,0,0,0,0,0,0,5442,3518,0,0,0,0,3196,2148,0,0
339.0,0,0,0,0,0,1684,0,0,3306,0,0,0,9039,0,0,0,0
340.0,0,0,0,1583,0,2465,0,0,4338,0,0,0,2408,4855,0,0,0
341.0,0,0,0,0,0,3831,0,0,5844,0,0,0,1839,2207,0,0,0
342.0,0,0,0,1640,0,1778,0,0,3046,0,0,0,1103,0,0,0,0
343.0,0,0,0,0,0,5064,0,2771,104961,0,1621,0,0,0,0,0,0
344.0,0,0,0,2226,0,1621,0,0,24329,0,0,0,0,0,0,0,0
345.0,0,2821,2930,0,0,4928,0,3172,7487,0,3533,0,0,0,0,0,0
346.0,0,0,0,5928,0,4404,0,0,12391,0,0,0,0,0,0,0,0
347.0,0,2120,0,0,0,2915,0,0,4569,0,0,0,0,0,0,0,0
348.0,0,0,0,41705,0,5377,0,0,0,0,10486,0,0,0,0,0,2500
349.0,0,0,0,9325,0,8063,0,0,3725,0,3094,0,0,0,0,0,0
350.0,0,0,0,3066,0,4696,0,0,3475,0,0,0,1810,0,0,0,0
351.0,0,0,7910,0,0,3736,0,0,7737,0,0,0,0,0,0,0,0
352.0,0,0,0,0,0,4506,0,0,4059,0,0,2056,0,0,0,0,0
353.0,0,0,0,0,0,0,0,0,9942,0,0,0,0,3921,0,0,0
354.0,0,1835,0,0,0,2709,0,2235,6879,0,0,0,0,0,0,0,0
355.0,0,2710,1753,0,1893,1282,1485,1982,285898,0,0,0,0,0,0,0,0
356.0,0,0,0,2396,0,0,0,0,67330,0,0,0,0,0,0,0,0
357.0,0,1919,0,0,0,5034,0,0,9182598,0,2500,0,0,0,0,0,0
358.0,0,0,0,0,0,3772,3737,0,2288976,0,0,0,0,0,0,0,0
359.0,0,0,0,0,0,1878,0,0,549442,0,0,0,0,0,0,0,0
360.0,0,0,0,10891,0,0,0,0,173764,0,0,0,0,0,0,0,0
361.0,0,0,0,2347,0,3287,0,0,95858,0,0,0,0,0,0,0,0
362.0,0,0,0,22592,0,5730,0,1016,66372,0,7590,0,0,1700,0,0,0
363.0,0,0,0,5286,0,7484,0,0,54259,0,1757,0,0,0,0,0,0
364.0,0,0,0,10526,0,5322,2679,0,24907,0,3800,0,0,0,0,0,0
365.0,0,0,0,2321,0,0,0,0,20424,0,0,0,963,0,0,0,0
366.0,0,0,0,3201,0,2296,0,2150,16814,0,0,0,0,0,0,0,0
367.0,0,0,0,0,0,3548,0,0,6489,0,0,0,0,0,0,0,0
368.0,0,0,3099,2512,0,0,0,0,5259,0,0,0,0,0,0,0,0
369.0,4437,0,0,6030,3899,15283,0,0,27294,0,2914,0,0,0,0,0,0
370.0,0,0,0,2035,0,7038,0,0,7201,0,0,0,0,0,0,0,0
371.0,104683,72247,35507,157634,127664,594312,52187,39738,66192,259985,53063,10031,9572,11431,16062,27546,11021
372.0,29431,23432,12049,43651,37713,170854,19501,12014,39029,65420,16427,3573,5462,4451,5025,8630,2126
373.0,8777,14174,8241,9469,17696,50342,9381,4563,38856,16342,6128,2649,1696,2107,3644,3731,1914
374.0,4046,4178,2140,5375,3440,12976,2264,0,10109,2011,0,0,0,0,0,0,0
375.0,0,0,0,0,0,8255,0,0,2668,0,0,0,0,0,0,0,0
376.0,0,0,0,10742,0,7073,0,0,0,0,4588,0,0,0,0,0,0
377.0,0,0,0,3430,0,4849,0,0,0,0,0,0,0,0,0,0,0
378.0,0,0,0,4803,0,5057,0,0,0,0,3066,0,0,0,0,0,0
379.0,0,0,0,2338,0,0,0,0,3220,0,0,0,0,0,0,0,0
380.0,0,0,0,2960,0,4343,0,0,0,0,0,0,0,0,0,0,0
381.0,0,0,0,0,0,3296,0,0,0,0,0,0,0,0,0,0,0
382.0,0,0,0,7144,0,5026,0,4278,7342,0,0,0,1354,0,0,0,0
383.0,0,0,0,7495,0,6829,0,0,6114,0,0,0,0,0,0,0,0
384.0,0,0,0,3435,0,3062,0,0,3719,0,0,0,1221,0,0,0,0
385.0,6957,2891,0,14481,7435,38541,3255,0,7799,3702,6567,0,0,0,0,0,0
386.0,3203,0,0,6132,2508,15370,0,1559,2894,0,2399,0,0,0,0,0,0
387.0,3334,2419,0,9771,4339,22156,0,0,5676,2576,3598,0,970,0,0,0,0
388.0,11946,3460,3714,18748,8191,46686,3107,1597,3047,21961,4831,0,0,0,0,1705,0
389.0,4861,5255,1511,5689,4886,14832,0,3205,3096,6852,2569,1167,0,0,0,0,0
390.0,2023,0,0,6041,0,9559,0,0,0,0,0,0,0,0,0,0,0
391.0,8071,13379,8845,8670,13164,31738,12122,9371,4374,6946,7900,5633,3676,8849,3445,4656,2917
392.0,2597,4148,2284,5189,4775,13305,3543,3012,0,1688,2548,0,1021,2279,0,0,0
393.0,0,0,0,0,0,5738,0,0,3127,0,0,0,0,0,0,0,0
394.0,0,0,0,0,3081,11519,2200,0,3337,0,0,0,0,0,0,0,0
395.0,0,0,0,0,0,4506,0,0,6183,0,0,0,0,0,0,0,0
396.0,0,0,0,0,0,5683,0,0,11514,0,0,0,0,0,0,0,0
397.0,0,0,0,0,0,3302,0,0,5189,0,0,0,0,0,0,0,0
398.0,0,0,0,7223,0,0,0,0,0,0,0,0,0,0,0,0,0
399.0,0,0,0,4942,0,7968,0,2545,0,0,0,0,0,0,0,0,0
400.0,0,0,0,5607,0,8820,0,0,0,0,0,0,0,0,0,0,0
401.0,0,0,0,3905,0,5748,0,0,2493,0,0,0,0,0,0,0,0
402.0,2859,0,0,9065,0,17621,2899,0,0,4432,0,0,0,0,2088,0,0
403.0,0,0,0,6033,1897,5947,0,0,0,0,0,0,0,0,0,0,0
404.0,0,0,0,6333,0,7261,0,0,4713,0,0,0,0,0,0,0,0
405.0,0,0,0,3236,0,9670,0,0,2057,0,0,0,0,0,0,0,0
406.0,0,0,0,3259,0,10993,2166,0,0,0,0,0,0,0,0,0,0
407.0,0,0,0,0,0,6392,0,0,3686,0,0,0,0,0,0,0,0
408.0,0,0,0,0,0,10565,2737,0,7574,4215,0,0,0,0,0,0,0
409.0,0,0,0,0,0,9843,0,0,12073,0,0,0,0,0,0,0,0
410.0,0,0,0,0,0,13113,0,1514,6062,0,0,0,0,0,0,0,0
411.0,0,0,0,0,0,3727,0,0,6135,0,0,0,0,0,0,0,0
412.0,0,0,0,0,0,3554,0,0,0,0,0,0,0,0,0,0,0
413.0,0,0,0,0,0,0,0,0,3171,0,0,0,0,0,0,0,0
414.0,0,0,0,5197,0,12223,0,1855,0,0,0,0,0,0,0,0,0
415.0,0,0,0,2880,0,5299,0,0,0,0,0,0,0,0,0,0,0
416.0,0,0,0,7302,0,6878,0,0,0,0,0,0,0,0,0,0,0
417.0,0,0,0,0,0,6969,0,0,0,0,0,0,0,0,0,0,0
418.0,0,0,0,16578,0,7985,0,0,0,0,2064,0,0,0,0,0,0
419.0,0,0,0,6620,0,6828,0,0,0,2215,0,0,0,0,0,0,0
420.0,0,0,0,7727,0,7758,0,0,0,0,0,0,0,0,0,0,0
421.0,0,0,0,0,0,3020,0,0,0,0,0,0,0,0,0,0,0
422.0,0,0,0,0,0,13941,0,0,9520,0,0,0,0,0,0,0,0
423.0,0,0,0,0,0,4099,0,0,3673,0,0,0,0,0,0,0,0
424.0,0,0,0,0,0,91780,0,0,0,0,0,0,0,0,0,0,0
425.0,0,0,0,0,0,26960,0,0,3769,0,0,0,0,0,0,0,0
426.0,0,0,0,0,0,8059,0,0,0,0,0,0,0,0,0,0,0
427.0,0,0,0,0,0,2645,0,0,0,0,0,0,0,0,0,0,0
428.0,0,0,0,0,0,5712,0,0,0,0,0,0,0,0,0,0,0
429.0,0,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0
430.0,0,0,0,2713,0,3695,2139,0,0,3364,0,0,0,0,0,0,0
431.0,0,0,0,0,0,3099,0,0,0,0,0,0,0,0,0,0,0
432.0,0,0,0,9147,0,4717,0,0,2456,0,0,0,0,0,0,0,0
433.0,0,0,0,3382,1638,22472,0,0,2399,0,0,0,0,0,0,0,0
434.0,0,0,0,7517,0,10702,0,0,54969,0,0,0,0,0,0,0,0
435.0,0,0,0,2357,0,2969,0,0,18947,0,0,0,0,0,0,0,0
436.0,0,0,0,3924,0,5796,0,0,88110,0,0,0,0,0,0,0,0
437.0,0,0,0,0,0,1856,0,0,28292,0,0,0,0,0,0,0,0
438.0,0,0,0,0,0,42546,0,0,6803,0,0,0,0,0,0,0,0
439.0,0,0,0,0,0,12277,0,0,0,0,0,0,0,0,0,0,0
440.0,0,0,0,0,0,23029,0,0,6189,0,0,0,0,0,0,0,0
441.0,0,0,0,0,0,5735,0,0,2558,0,0,0,0,0,0,0,0
442.0,0,0,0,0,0,3683,0,0,0,0,0,0,0,0,0,0,0
443.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444.0,2900,0,0,4613,0,6839,0,0,0,0,0,0,0,0,0,0,0
445.0,6352,20077,16332,2116,17122,14806,14047,9584,4068,10367,6422,6408,2841,4890,6729,8027,4990
446.0,2734,8480,6979,72937,8503,7747,6986,3928,0,4545,3244,3090,1815,2460,3074,3249,2022
447.0,2616,7849,6275,20937,6326,8812,4973,4474,0,4168,2674,3420,0,2226,2689,3332,2140
448.0,0,2919,2120,8701,2180,4271,2112,0,3690,0,0,0,0,0,0,0,0
449.0,0,0,0,0,0,4718,0,0,0,0,0,0,0,0,0,0,0
450.0,0,0,0,2115,0,3068,0,0,11810,0,0,0,0,0,0,0,0
451.0,0,0,0,0,0,1801,0,0,5949,0,0,0,0,0,0,0,0
452.0,0,0,0,0,0,7540,0,0,23322,0,0,0,0,0,0,0,0
453.0,0,0,0,0,0,0,0,0,7531,0,0,0,0,0,0,0,0
454.0,0,0,0,0,0,7265,0,0,101074,0,0,0,0,0,0,0,0
455.0,0,0,0,0,0,4227,0,0,30265,0,0,0,0,0,0,0,0
456.0,0,0,0,2343,0,7122,0,0,5826,0,0,0,0,0,0,0,0
457.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458.0,0,0,0,27607,0,1474,0,0,0,0,0,0,0,0,0,0,0
459.0,0,0,0,8416,0,0,0,0,0,0,0,0,0,0,0,0,0
460.0,0,0,0,1114933,0,6182,0,0,0,0,26661,0,0,0,0,0,0
461.0,0,0,0,350295,0,1630,0,0,0,0,8093,0,0,0,0,0,0
462.0,0,4120,4111,95585,2962,4285,2663,0,2969,2510,2015,0,0,0,0,0,0
463.0,0,0,1995,19520,0,3226,0,0,0,0,0,0,0,0,0,0,0
464.0,0,0,1806,10340,0,7595,0,0,0,0,0,0,0,0,0,0,0
465.0,0,0,0,4575,0,3613,0,0,0,0,0,0,0,0,0,0,0
466.0,0,0,0,0,0,7795,0,0,18883,0,0,0,0,0,0,0,0
467.0,0,0,0,0,0,0,0,0,6827,0,0,0,0,0,0,0,0
468.0,0,0,0,0,0,20285,0,0,5845,0,0,0,0,0,0,0,0
469.0,0,0,0,0,0,5915,0,0,5320,0,0,0,0,0,0,0,0
470.0,0,0,0,0,0,3701,0,0,2598,0,0,0,0,0,0,0,0
471.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472.0,0,0,0,10603,0,0,0,0,0,0,0,0,0,0,0,0,0
473.0,0,0,0,3518,0,0,0,0,0,0,0,0,0,0,0,0,0
474.0,0,0,0,203902,0,2570,0,0,0,0,4494,0,0,0,0,0,0
475.0,0,0,0,59031,0,0,0,0,0,0,0,0,0,0,0,0,0
476.0,7709,0,0,107139,0,2123,0,0,32278,0,2169,0,0,0,0,0,0
477.0,2368,0,0,36466,0,0,0,0,11386,0,0,0,0,0,0,0,0
478.0,0,0,0,9651,0,5113,0,0,4652,0,0,0,0,0,0,0,0
479.0,0,0,0,3695,0,0,0,0,2604,0,0,0,0,0,0,0,0
480.0,0,0,0,4909,0,5941,0,0,0,0,0,0,0,0,0,0,0
481.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482.0,0,4499,0,0,7154,52678,0,0,0,0,0,0,0,0,0,0,0
483.0,0,0,0,0,1844,16734,0,0,0,0,0,0,0,0,0,0,0
484.0,3270,0,0,0,0,5432,0,1793,0,0,0,0,0,0,0,0,0
485.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486.0,89155,0,0,0,0,0,0,63099,0,0,0,0,0,0,0,0,0
487.0,27381,0,0,0,0,0,0,19532,0,0,0,0,0,0,0,0,0
488.0,6235,0,0,27302,0,2480,0,4220,0,0,0,0,0,0,0,0,0
489.0,0,0,0,8997,0,0,0,0,0,0,0,0,0,0,0,0,0
490.0,0,0,0,37280,0,1726,0,2322,0,0,0,0,0,0,0,0,0
491.0,0,0,0,58978,0,0,0,0,0,0,0,0,0,0,11329,12071,5670
492.0,0,0,0,49758,0,8872,0,0,3463,0,0,0,0,0,4020,4106,1909
493.0,0,0,0,13643,0,0,0,0,0,0,0,0,0,0,0,0,0
494.0,0,0,0,11505,0,4339,0,0,0,0,0,0,0,0,0,0,0
495.0,0,0,0,3153,0,0,0,0,0,0,0,0,0,0,0,0,0
496.0,0,0,0,5393,3645,19074,0,0,0,0,0,0,0,0,0,0,0
497.0,0,0,0,2224,0,7478,0,0,0,0,0,0,0,0,0,0,0
498.0,0,0,0,0,0,8241,0,0,0,0,0,0,0,0,0,0,0
499.0,0,0,0,0,0,2576,0,0,0,0,0,0,0,0,0,0,0
500.0,24367,0,0,0,0,0,0,6603,0,0,0,0,0,0,0,0,0
501.0,7919,0,0,0,0,0,0,2498,0,0,0,0,0,0,0,0,0
502.0,13635,0,0,3614,0,0,0,2982,0,0,0,0,0,0,0,0,0
503.0,4185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504.0,0,0,0,8372,0,8648,0,0,0,0,0,0,0,0,0,0,0
505.0,0,0,0,7926,0,3490,0,0,0,0,0,0,0,0,0,0,0
506.0,0,0,0,15548,178148,885374,32578,0,9573,0,0,0,0,0,0,0,0
507.0,0,0,0,7585,57825,307192,11302,0,3870,0,0,0,0,0,0,0,0
508.0,0,0,0,10520,12343,71914,2409,0,0,0,0,0,0,0,0,0,0
509.0,0,0,0,3114,2157,20901,0,0,0,0,0,0,0,0,0,0,0
510.0,0,0,0,3268,0,10540,0,0,0,0,0,0,0,0,0,0,0
511.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512.0,0,0,0,0,0,7799,0,0,0,0,0,0,1330,0,0,0,0
513.0,0,0,0,0,0,3771,0,0,4854,0,0,0,0,0,0,0,0
514.0,3261,0,0,0,0,2226,0,0,2074,0,0,0,0,0,0,0,0
515.0,0,0,0,0,0,0,0,0,11455,0,0,0,0,0,0,0,0
516.0,4092,0,0,0,0,0,0,0,4632,0,0,0,0,0,0,0,0
517.0,4053,0,0,0,0,0,0,3024,0,0,0,0,0,0,0,0,0
518.0,3632,0,0,6937,0,3384,0,0,0,0,0,0,0,0,0,0,0
519.0,0,2696,4080,3252,2812,4488,1846,3041,0,2487,1664,2195,0,0,2334,0,0
520.0,0,1849,2112,2758,21697,91519,6879,0,5004,0,0,0,0,0,0,0,0
521.0,0,0,0,3293,7486,31191,0,0,2093,0,0,0,0,0,0,0,0
522.0,0,0,0,3362,15773,53138,2947,0,0,0,0,0,0,0,0,0,0
523.0,0,0,0,4345,5268,17746,0,0,0,0,0,0,0,0,0,0,0
524.0,0,0,0,2575,0,4112,0,0,0,0,0,0,0,0,0,0,0
525.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526.0,0,0,0,0,0,9759,3522,0,0,0,0,0,0,0,0,0,0
527.0,0,0,0,0,0,5181,0,0,0,0,0,0,0,0,0,0,0
528.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
529.0,0,0,0,0,0,0,0,0,2208,0,0,0,0,0,0,0,0
530.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531.0,0,0,0,0,0,0,0,0,4093,0,0,0,0,0,0,0,0
532.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533.0,0,0,0,0,0,0,0,0,6534,0,0,0,0,0,0,0,0
534.0,0,0,0,0,2693,12075,0,0,2559,0,0,0,0,0,0,0,0
535.0,0,0,0,0,0,2884,0,0,0,0,0,0,0,0,0,0,0
536.0,0,0,0,0,4499,8989,0,0,0,0,0,0,0,0,0,0,0
537.0,0,0,0,0,4710,22132,0,0,0,0,0,0,0,0,0,0,0
538.0,0,0,0,0,6088,13178,0,0,0,0,0,0,0,0,0,0,0
539.0,0,0,0,0,0,3486,0,0,0,0,0,0,0,0,0,0,0
540.0,0,0,0,0,0,8810,0,0,0,0,0,0,0,0,0,0,0
541.0,0,0,0,0,0,3147,0,0,0,0,0,0,0,0,0,0,0
542.0,0,0,0,0,0,2038,0,0,0,0,0,0,0,0,0,0,0
543.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545.0,0,0,0,0,0,921,0,0,2221,0,0,0,1032,0,0,0,0
546.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547.0,0,0,0,0,0,0,0,0,4588,0,0,0,0,0,0,0,0
548.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550.0,0,0,0,0,0,2645,0,0,0,0,0,0,0,0,0,0,0
551.0,0,0,0,0,0,2967,0,0,4145,0,0,0,0,0,0,0,0
552.0,0,0,0,0,0,2822,0,0,0,0,0,0,0,0,0,0,0
553.0,0,0,0,0,0,2196,0,0,0,0,0,0,0,0,0,0,0
554.0,0,0,0,0,0,2293,0,0,0,0,0,0,0,0,0,0,0
555.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563.0,0,0,0,0,0,0,0,0,2555,0,0,0,0,0,0,0,0
564.0,0,0,0,0,0,0,0,0,4900,0,0,0,0,0,0,0,0
565.0,0,0,0,0,0,0,0,0,2097,0,0,0,0,0,0,0,0
566.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567.0,0,0,0,0,0,1716,0,0,0,0,0,0,0,0,0,0,0
568.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569.0,0,0,0,0,0,1548,0,0,0,0,0,0,0,0,0,0,0
570.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
571.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575.0,0,0,0,0,0,0,0,0,0,0,0,0,1461,0,0,0,0
576.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
