molecule,group,file,short_molecule
ArgProSer,ArgProSer_250C_070325.txt,/Users/alexseager/Desktop/Summer_Work_2025/MS_Data/Mixtures/ArgProSer_250C_070325.txt,ArgProSer
CT,CT_Water_061125.txt,/Users/alexseager/Desktop/Summer_Work_2025/MS_Data/Mixtures/CT_Water_061125.txt,CT
1c3moxybenz+benzsulfa+dodecymebr,1c3moxybenz+benzsulfa+dodecymebr_250C_070925.txt,/Users/alexseager/Desktop/Summer_Work_2025/MS_Data/Mixtures/1c3moxybenz+benzsulfa+dodecymebr_250C_070925.txt,1c3moxybenz+benzsulfa+dodecymebr
AlaArgGluGly,AlaArgGluGly_250C_070325.txt,/Users/alexseager/Desktop/Summer_Work_2025/MS_Data/Mixtures/AlaArgGluGly_250C_070325.txt,AlaArgGluGly
ACGT,ACGT_Water_061125.txt,/Users/alexseager/Desktop/Summer_Work_2025/MS_Data/Mixtures/ACGT_Water_061125.txt,ACGT
AC,AC_Water_061125.txt,/Users/alexseager/Desktop/Summer_Work_2025/MS_Data/Mixtures/AC_Water_061125.txt,AC
AG,AG_Water_061125.txt,/Users/alexseager/Desktop/Summer_Work_2025/MS_Data/Mixtures/AG_Water_061125.txt,AG
ProSerThr,ProSerThr_250C_070325.txt,/Users/alexseager/Desktop/Summer_Work_2025/MS_Data/Mixtures/ProSerThr_250C_070325.txt,ProSerThr
benzsulfa+16diph135hex+nmpyrr+pyrene,benzsulfa+16diph135hex+nmpyrr+pyrene_250C_070925.txt,/Users/alexseager/Desktop/Summer_Work_2025/MS_Data/Mixtures/benzsulfa+16diph135hex+nmpyrr+pyrene_250C_070925.txt,benzsulfa+16diph135hex+nmpyrr+pyrene
benzene+dodecymebr,benzene+dodecymebr_250C_070925.txt,/Users/alexseager/Desktop/Summer_Work_2025/MS_Data/Mixtures/benzene+dodecymebr_250C_070925.txt,benzene+dodecymebr
AlaArg,AlaArg_250C_070325.txt,/Users/alexseager/Desktop/Summer_Work_2025/MS_Data/Mixtures/AlaArg_250C_070325.txt,AlaArg
1-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine,B5M2,/Users/alexseager/Desktop/Summer_Work_2025/MS_Data/Mixtures/B5M2/1-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine.txt,1-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine
3-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine,B5M2,/Users/alexseager/Desktop/Summer_Work_2025/MS_Data/Mixtures/B5M2/3-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine.txt,3-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine
2-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine,B5M2,/Users/alexseager/Desktop/Summer_Work_2025/MS_Data/Mixtures/B5M2/2-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine.txt,2-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine
2-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth,B5M1,/Users/alexseager/Desktop/Summer_Work_2025/MS_Data/Mixtures/B5M1/2-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth.txt,2-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth
1-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth,B5M1,/Users/alexseager/Desktop/Summer_Work_2025/MS_Data/Mixtures/B5M1/1-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth.txt,1-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth
3-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth,B5M1,/Users/alexseager/Desktop/Summer_Work_2025/MS_Data/Mixtures/B5M1/3-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth.txt,3-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth
