,N-methylpyrrole,246-Trimethylpyridine,Nile red,Methylcyclopentane,Cyclopentane,Pyridine,1234-tetrafluorobenzene,Asn,Arg,Ala,Glu,Leu,Phe,Cys,Ser,Ile,Gln,Met,Trp,Asp,Val,Gly,Pro,Tyr,Lys,His,Thr,Benzene,Benzenesulfonic acid,Pyrene,Phenanthrene,P2,ZnPh,P1,Purine,Thymine,2-methoxynaphthalene,Adenine,Hypoxanthine,Cytosine,22-bipyridyl,Guanine,213-Benzothiadiazole,Pyrimidine,1-methoxy-3-methylbenzene,Biphenyl,Xanthine,26-Diaminopurine,1-Chloro-3-methoxybenzene,Trimethyloctadecylammonium bromide,Sodium n-decyl sulfate,Decyltrimethylammonium bromide,Sodium n-octadecyl sulfate,Dodecylamine,Tridecanoic acid,Dodecanoic acid,Dodecyltrimethylammonium bromide,16-diphenyl-135-hexatriene
46.0,1131,0,0,2507,1506,2563,2879,2529,2836,0,0,0,4463,1636,0,1536,3669,2876,2266,10710,0,1283,1083,1023,1340,5559,0,2022,0,0,0,0,6812,0,2632,2300,3599,4253,2387,5084,1456,0,5760,4071,3463,1073,4863,2639,3387,1024,0,0,0,0,0,759,0,0
47.0,0,0,0,0,0,0,0,1029,1036,0,0,0,2719,772,0,1007,1298,997,963,1510,0,0,1235,0,0,0,0,2083,0,0,0,0,0,1254,0,0,1879,1202,0,1897,0,0,2106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784,0,0,0
49.0,0,0,0,0,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.0,0,0,0,0,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.0,0,0,0,0,0,1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2537,1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4006,0,0
54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4687,0,0,0,0,0,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.0,4121,0,5706,55806,6859,3817,6942,8209,7593,3012,5381,3749,8890,5439,1137,7519,10896,10289,4208,8393,49711,3720,8580,6373,8060,5850,4632,12569,4666,1552,904,5919,3706,9805,3158,3840,5630,6971,5648,5099,7018,2178,9162,0,7276,5486,4584,5149,7296,3985,25288,3020,3807,0,8929,4313,6784,0
56.0,2132,0,1401,9832,2150,1623,2047,2858,2537,1549,3030,0,1490,0,0,4771,2747,216537,1270,2709,7713,2605,2865,1596,4736,1911,31600,3870,0,0,0,1443,0,1968,0,4104,2720,1862,1247,1866,2334,1524,3448,1917,1567,1609,1666,1736,2104,2968,3688,1404,0,1932,3378,2185,0,0
57.0,5343,0,32588,33657,21222,13319,20486,30806,41239,9099,26948,14902,17180,21627,4096,39923,41877,37616,23140,43599,23214,15321,25431,47646,29360,21755,25380,69119,18476,4885,4498,25634,13096,34430,11730,12314,20170,19353,26920,20234,22630,16526,33280,2089,14649,17870,15587,19764,50170,14075,330741,13332,135599,4050,62889,15464,37849,4008
58.0,1801,0,6014,7282,2137,2300,2507,5880,8831,2497,2516,4662,3494,2609,4342,7425,5934,138895,1922,7131,3940,2749,5273,4837,2685,4304,2712,30890,2092,0,1350,2841,1475,4692,3080,2071,5584,5874,2534,3295,5727,2616,8233,6257,3013,4299,2184,4755,5725,9708,28298,1681,9628,1945,8284,2345,14071,0
59.0,47347,12004,151898,178442,174098,145860,217791,234802,218700,119089,163354,114419,191036,202334,20292,213665,271560,181961,119638,287946,132940,152563,222288,215953,137083,292174,140711,168363,227089,19019,30707,343980,113371,200650,155485,106299,286842,276498,291637,227894,577663,17187,536925,28124,146300,349845,89932,323216,245165,166617,200181,8012,76911,6041,808829,188425,137637,36467
60.0,6790,5113,10659,18915,20718,12924,19131,37033,29496,12085,20926,13981,20483,25649,2335690,17377,29666,29887,12848,39915,10768,18477,16581,20435,14207,31298,11846,21554,14952,2775,6350,37387,191210,18306,19785,12931,34416,28096,26639,20590,75400,17913,80720,7232,17316,40289,12777,38703,22548,108486,15915,2530,9253,1121,87830,14427,527466,3358
61.0,11039,3235,28178,40083,33960,31024,281698,57561,49869,21468,37047,20368,51817,31096,207851,32767,58909,126963,85505,72710,30582,33209,55898,51176,37411,46501,26340,53040,20081,21492,9272,81397,71702,54072,73176,41474,55112,45301,57152,108438,80348,432426,117150,4610,30204,59869,19758,55455,38160,26115,42899,1913,13455,0,42065,25913,59957,6155
62.0,0,0,0,3744,2595,0,15455,5482,4435,4092,3965,1450,1927,1389,90000,2837,5829,6853,4950,5740,1703,2294,4138,3340,1733,5167,1680,2761,1087,0,1136,5073,4675,3789,5543,3813,6280,4974,4925,6071,8311,29109,10474,0,2100,5765,3052,6938,2031,4170,3831,0,1359,0,4154,1998,1713,0
63.0,0,0,0,1493,3280,0,3513,2876,2505,869,2004,0,2579,0,12657,2255,2146,18698,2945,3999,0,1190,2425,3253,2602,1799,1318,20049,0,0,0,0,1534,1970,1977,1322,3049,3378,3189,3553,3682,2412,6421,0,1189,2509,1130,2433,1363,1601,3253,0,0,0,1322,1305,0,0
64.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,0,0,0
65.0,1913,0,1070,1257,2750,0,1033,2051,1521,0,0,0,0,2327,0,1773,1975,4815,0,1004,0,0,2072,1354,0,1355,0,28729,1239,0,0,1734,0,0,1597,0,3239,2996,3470,2078,5671,0,4905,0,2189,3611,1889,3477,1438,1696,2552,0,0,0,0,1309,866,2789
66.0,0,0,0,1647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1044810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1911,0,0,0,0,0
67.0,12582,0,1933,134874,2876,1591,1496,8021,8218,1613,7436,2282,1222,9753,0,4726,6992,4014,1517,5891,1919,2106,3225,3710,8591,5167,2623,191400,2107,0,0,2384,1662,4991,2123,1297,2245,3058,3749,2450,3782,4286,4043,0,3158,3387,5489,3709,2148,3101,32409,24731,15784,2451,23750,2559,6507,0
68.0,27203,0,0,8988,0,0,0,2785,22146,0,0,0,0,10046,0,0,1272,2907,0,1522,0,1288,7674,0,1787,0,0,119200,1101,0,0,0,0,0,0,0,0,0,0,0,1602,0,1600,0,0,0,997,0,0,0,3149,9229,4091,0,9941,0,0,0
69.0,3794,0,12901,31582,14687,7124,9116,33388,28742,5418,19223,11182,8076,28637,1650,38454,27178,16638,7867,26006,10324,9143,16651,19390,30791,25154,11047,29801,13326,3013,2416,18371,7503,22112,9276,5165,11204,11360,19988,13247,18580,10874,16508,16591,8022,13219,19579,17077,10929,11391,130199,13067,17644,2354,18444,11256,25474,1867
70.0,29538,0,1532,4769,1616,1884,1329,70169,5015,26515,4175,1810,1374,6221,16831,7203,4422,7679,1646,19845,7164,2539,1083685,4078,9880,6144,1420,10741,1641,0,0,1838,1592,2204,2970,2069,2614,2006,4504,0,5664,13326,5100,3952,1498,3774,5710,4997,2411,2344,9697,3128,2743,4918,6103,1841,2336,0
71.0,11875,1797,65923,54954,40120,22848,32984,69180,70528,20338,53032,23625,28721,70660,8786,59772,73267,41194,24336,81125,28704,31058,155804,75418,50223,68965,40540,62912,44582,7236,7629,69079,26269,62082,19929,17689,28617,31715,59475,39775,47067,22195,46896,30207,26453,35128,45933,39902,44052,33167,540169,40652,297310,9765,130213,39846,68983,7525
72.0,5533,0,25309,16084,9311,11105,10793,30124,17831,11893,24183,11804,9575,9867,4916,17962,24508,105065,7628,19936,3350202,11387,39984,11147,13419,11827,10542,29976,9366,2465,6968,10165,6086,11251,24010,11998,23764,14983,12616,9023,27416,15476,29362,36881,11458,20103,9163,22090,16355,15958,57815,6484,23346,4759,18924,9003,8187,1836
73.0,10612,6568,35283,39257,165970,21153,44941,214307,68527,23887,55574,27721,26273,85086,6816,115942,115422,72717,25361,57255,399985,31205,41671,51242,65632,112573,31841,411977,41206,9636,16281,44216,24131,58980,41556,15879,43949,40331,71764,33474,77827,23330,74446,36001,28218,61890,59632,77971,51462,39353,112311,23730,22309,3379,44930,54283,33619,8450
74.0,4322,1533,69132,16002,14269,8086,14165,56535,26203,11105,20806,28642,97591,30464,7259,54554,23269,274023,12620,131108,102017,17638,14301,18602,18658,32371,372912,98068,9349,5297,6255,9583,471747,11635,18714,12249,22805,16565,15658,11619,30111,26235,36386,47327,11872,23108,11603,24971,25073,21720,16614,6188,10347,4328,11826,12722,21057,1711
75.0,3632,0,15707,17263,22588,10632,17774,37596,38062,10416,28600,25297,27084,32017,4347,30956,39419,98456,30031,73064,58017,21227,26775,41598,27063,39314,39955,46459,19925,2241,5675,41667,51306,48210,20012,12468,27631,33504,39630,36811,48879,14749,53893,7439,11626,35783,24428,43853,19437,22282,55443,2041,9177,0,11668,13996,22539,2660
76.0,1593,0,1683,3930,3591,3114,4444,8929,7996,2885,32518,2711,5624,21941,2670,4739,9308,12061,10685,9845,2606,8107782,5038,7183,6021,12779,5770,6326,3084,0,0,3224,5399,3428,3753,2593,6469,6277,3704,5313,8759,25480,9712,1676,3241,5095,2254,7002,6206,4576,3144,0,2026,0,2840,3517,6004,0
77.0,990,0,4009,3989,5680,0,3660,4214,5321,1896,4022,2607,5093,1676,0,4694,6406,8429,3514,7572,2071,831745,3012,3984,2575,5457,4595,45812,5842,0,1157,4121,4302,6882,1799,1199,4829,2720,6982,4296,5448,0,10130,0,2284,5624,3593,5170,5756,5009,4427,0,1946,0,16701,6378,2962,0
78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1324,1172,0,0,0,0,0,0,248950,0,0,0,0,0,12607560,0,0,0,0,0,0,0,0,0,0,0,0,0,12225,1226,0,3533,0,0,0,0,0,0,0,0,0,0,0,0,0
79.0,0,0,5746,11188,4791,45033,89486,7449,9214,1060,6231,3423,7078,9034,0,7102,7923,6018,5534,8136,2392,111819,5160,6174,5147,7573,4425,1836954,9899,0,0,10239,4741,7822,5977,1538,7682,3892,8526,3256,11197,5854,13946,0,10830,9486,4455,9694,10085,6282,12275,5362,4783,0,8979,12292,3789,2876
80.0,58934,0,232316,25354,1633,23452769,430758,3210,2367,2088,2395,0,0,4027,0,2132,1966,3246,0,2070,1689,34802,1745,2141,3319,2358,0,418949,12456,2066,0,1612,0,1975,2919,2057,2498,3174,2066,0,3588,5742,3452,2001862,10936,3080,0,2962,16151,3638,1888,15932,2608,0,11109,18933,4840,1251
81.0,844955,0,21054,610918,10591,4134810,45325,24473,22317,4361,21035,5919,4079,33038,2323,17489,22954,204116,5057,20195,5811,22401,10682,14241,19724,30017,8168,875100,9836,3234,22232,11985,4722,15186,23607,5127,30052,9902,19309,6078,52209,12025,49130,4057050,9225,43550,21792,43131,17770,43102,129505,59522,45020,4522,59615,12906,20240,3942
82.0,8868271,999,3674,599630,7466,1120779,7823,2264,2072,1354,2407,3881,0,3916,0,3760,1942,8124,0,2183,0,1297,1650,2009,28609,20721,0,587442,8358,0,0,0,0,1619,2330,2859,3630,1467,37809,0,5139,1680,8068,367389,6389,4183,1824,4091,12274,9695,11682,19765,14360,1816,18015,5977,2849,0
83.0,1387658,0,12545,1173039,19024,315986,14817,40644,33831,11475,29154,12467,12984,33885,4839,25971,32948,45909,12852,32394,15486,15736,23549,25922,38809,40925,16057,428936,14317,3747,5552,21590,11249,25367,12230,11566,20710,18463,28782,19774,31794,15233,31541,272276,15980,22963,23207,24381,26278,19795,388470,20627,34625,4455,32849,15525,35767,3700
